,SeriesDescription,number_of_images,EchoTime,InversionTime,EchoTrainLength,RepetitionTime,TriggerTime,SequenceVariant,ScanOptions,ScanningSequence,ImageType,PixelSpacing,SliceThickness,SequenceName,b_value,c
4,T2 Weighted Axial,30,93.632,,13,5109,,SK/OSP,FAST_GEMS/FC_SLICE_AX_GEMS/FC/NPW/EDR_GEMS/TRF_GEMS/FILTERED_GEMS,SE,ORIGINAL/PRIMARY/OTHER,0.2734,3,,0,blue
30,T2 Weighted Axial,30,97.2,0,19,3350,,SK/OSP,FAST_GEMS/NPW/TRF_GEMS/FILTERED_GEMS,SE,ORIGINAL/PRIMARY/OTHER,0.2734,3,,0,blue
39,T2 Weighted Axial,28,93.504,,13,4767,,SK/OSP,FAST_GEMS/FC_SLICE_AX_GEMS/FC/NPW/EDR_GEMS/TRF_GEMS/FILTERED_GEMS,SE,ORIGINAL/PRIMARY/OTHER,0.2734,3,,0,blue
137,T2 Weighted Axial,32,99.504,0,19,3650,,SK/OSP,FAST_GEMS/NPW/TRF_GEMS/FILTERED_GEMS,SE,ORIGINAL/PRIMARY/OTHER,0.3125,3,,0,blue
142,T2 Weighted Axial,30,98.856,0,19,3600,,SK/OSP,FAST_GEMS/NPW/TRF_GEMS/FILTERED_GEMS,SE,ORIGINAL/PRIMARY/OTHER,0.3125,3,,0,blue
156,T2 Weighted Axial,28,94.72,,13,4825,,SK/OSP,FAST_GEMS/FC_SLICE_AX_GEMS/FC/NPW/EDR_GEMS/TRF_GEMS/FILTERED_GEMS,SE,ORIGINAL/PRIMARY/OTHER,0.2734,3,,0,blue
187,T2 Weighted Axial,26,84.168,,13,4600,,SK/OSP,FAST_GEMS/FC_SLICE_AX_GEMS/FC/NPW/EDR_GEMS/TRF_GEMS/FILTERED_GEMS,SE,ORIGINAL/PRIMARY/OTHER,0.2734,3,,0,blue
223,T2 Weighted Axial,34,106.48,0,19,3750,,SK/OSP,FAST_GEMS/NPW/TRF_GEMS/FILTERED_GEMS,SE,ORIGINAL/PRIMARY/OTHER,0.3125,3,,0,blue
247,T2 Weighted Axial,26,84.168,,13,4546,,SK/OSP,FAST_GEMS/FC_SLICE_AX_GEMS/FC/NPW/EDR_GEMS/TRF_GEMS/FILTERED_GEMS,SE,ORIGINAL/PRIMARY/OTHER,0.2734,3,,0,blue
323,T2 Weighted Axial,32,98.928,0,19,3633.34,,SK/OSP,FAST_GEMS/NPW/TRF_GEMS/FILTERED_GEMS,SE,ORIGINAL/PRIMARY/OTHER,0.3125,3,,0,blue
